Wavelength,Intensity
300,409
310,447
320,383
330,563
340,444
350,429
360,452
370,798
380,596
390,787
400,1554
410,1419
420,1283
430,531
440,323
450,308
460,290
470,277
480,282
490,231
500,260
510,243
520,248
530,220
540,233
550,245
560,246
570,251
580,282
590,375
600,301
610,275
620,241
630,237
640,255
650,249
660,235
670,258
680,292
690,322
700,323
710,317
720,272
730,266
740,280
750,255
760,254
770,253
780,292
790,251
800,257
810,288
820,273
830,285
840,266
850,257
860,247
870,233
880,252
890,272
900,268
910,260
920,255
930,240
940,275
950,287
960,346
970,433
980,379
990,641
1000,1402
1010,811
1020,912
1030,375
1040,285
1050,244
1060,238
1070,248
1080,233
1090,201
1100,243
1110,243
1120,239
1130,209
1140,227
1150,202
1160,206
1170,215
1180,240
1190,230
1200,237
1210,223
1220,234
1230,224
1240,240
1250,241
1260,226
1270,245
1280,229
1290,223
